	(1)	(2)	(3)	(4)	(5)	(6)	(7)
	Presidential Vote Choice (-1=McCain; 0=Other/Didn't Vote; +1=Obama)	Presidential Vote Choice (-1=McCain; 0=Other/Didn't Vote; +1=Obama)	Presidential Vote Choice (-1=McCain; 0=Other/Didn't Vote; +1=Obama)	Presidential Vote Choice (-1=McCain; 0=Other/Didn't Vote; +1=Obama)	Presidential Vote Choice (-1=McCain; 0=Other/Didn't Vote; +1=Obama)	Presidential Vote Choice (-1=McCain; 0=Didn't Vote; +1=Obama)	Presidential Vote Choice (-1=McCain; 1=Obama)
Psychological Secrecy (PC)	0.022	0.020	0.019	-0.191	0.152	0.020	0.082
	[0.025]	[0.063]	[0.066]	[0.177]	[0.224]	[0.063]	[0.100]
Social Secrecy (PC)	-0.009	-0.018	-0.013	-0.215	0.042	-0.021	-0.111
	[0.031]	[0.040]	[0.040]	[0.243]	[0.169]	[0.041]	[0.151]
o. Party: Strong Republican	0.000						
	[0.000]						
Party: Weak Republican	-0.406	-0.420	-0.545	-0.641	-1.452	-0.433	-0.589
	[0.092]***	[0.099]***	[0.195]***	[0.182]***	[0.520]***	[0.102]***	[0.136]***
Party: Lean Republican	-0.315	-0.323	-0.374	-0.442	-0.884	-0.346	-0.412
	[0.113]***	[0.124]***	[0.148]**	[0.145]***	[0.559]	[0.130]***	[0.161]**
Party: Lean Democrat	0.528	0.544	0.609	0.660	2.541	0.538	0.659
	[0.096]***	[0.100]***	[0.131]***	[0.132]***	[0.540]***	[0.102]***	[0.142]***
Party: Weak Democrat	0.248	0.285	0.409	0.586	1.055	0.290	0.459
	[0.094]***	[0.097]***	[0.200]**	[0.190]***	[0.468]**	[0.099]***	[0.151]***
Party: Strong Democrat	0.482	0.480	0.641	0.851	2.093	0.475	0.597
	[0.085]***	[0.093]***	[0.286]**	[0.266]***	[0.467]***	[0.095]***	[0.137]***
Union HH (1=yes)	0.077	0.067	-0.272	-0.544	0.710	0.064	0.019
	[0.048]	[0.046]	[0.433]	[0.450]	[0.335]**	[0.047]	[0.055]
Race: Black (1=yes)	0.342	0.313	0.408	0.259	1.570	0.314	0.281
	[0.075]***	[0.073]***	[0.159]**	[0.160]	[0.632]**	[0.073]***	[0.073]***
Race: Hispanic (1=yes)	0.203	0.134	0.008	0.013	0.609	0.127	0.147
	[0.093]**	[0.082]	[0.093]	[0.093]	[0.459]	[0.082]	[0.100]
Race: Other Race (1=yes)	0.047	0.041	0.031	-0.043	0.551	0.039	-0.015
	[0.097]	[0.094]	[0.097]	[0.100]	[0.510]	[0.100]	[0.111]
Female (1=yes)	0.116	0.118	0.099	0.126	0.616	0.131	0.087
	[0.045]***	[0.041]***	[0.048]**	[0.048]***	[0.231]***	[0.041]***	[0.042]**
Age (Years)	-0.001	-0.004	-0.010	-0.002	0.008	-0.004	-0.022
	[0.008]	[0.008]	[0.009]	[0.011]	[0.046]	[0.008]	[0.008]***
Age-squared/100	0.005	0.008	0.012	0.003	0.018	0.008	0.023
	[0.007]	[0.008]	[0.009]	[0.011]	[0.048]	[0.007]	[0.008]***
Married/Domestic Partnership (1=yes)	-0.053	-0.053	-0.045	-0.009	-0.164	-0.051	-0.047
	[0.045]	[0.044]	[0.051]	[0.052]	[0.274]	[0.045]	[0.045]
Religious Attendance (1-6)	-0.008	-0.010	-0.016	-0.024	-0.051	-0.009	-0.006
	[0.013]	[0.013]	[0.015]	[0.015]	[0.085]	[0.013]	[0.013]
Education: No HS	0.221	0.181	0.131	0.121	1.282	0.173	0.042
	[0.118]*	[0.110]*	[0.103]	[0.090]	[1.134]	[0.110]	[0.101]
Education: Some college	-0.018	-0.027	-0.018	-0.004	0.158	-0.016	-0.071
	[0.057]	[0.054]	[0.054]	[0.054]	[0.346]	[0.054]	[0.054]
Education: 2-year college	0.063	0.107	0.136	0.110	0.670	0.119	-0.008
	[0.095]	[0.097]	[0.106]	[0.103]	[0.569]	[0.099]	[0.117]
Education: 4-year college	0.055	0.065	0.134	0.148	0.597	0.073	0.015
	[0.054]	[0.055]	[0.059]**	[0.058]**	[0.341]*	[0.056]	[0.056]
Education: Post-graduate	0.129	0.131	0.176	0.203	0.986	0.127	0.037
	[0.071]*	[0.068]*	[0.070]**	[0.073]***	[0.400]**	[0.069]*	[0.067]
Income (1=<10k; 14=>150k; 15=RF/Missing)	0.003	0.004	-0.002	-0.006	-0.041	0.005	0.010
	[0.007]	[0.007]	[0.008]	[0.008]	[0.044]	[0.007]	[0.007]
Income Missing	-0.055	-0.076	-0.078	-0.005	0.363	-0.094	-0.108
	[0.089]	[0.091]	[0.106]	[0.104]	[0.638]	[0.093]	[0.086]
Interest in Politics (standardized)	-0.034	-0.032	-0.023	-0.011	-0.267	-0.037	-0.051
	[0.032]	[0.030]	[0.032]	[0.031]	[0.181]	[0.030]	[0.035]
Ideology (-2=very cons.; 0=moderate/not sure; +2=very lib.)	0.108	0.095	0.092	0.079	0.601	0.091	0.090
	[0.027]***	[0.029]***	[0.031]***	[0.031]**	[0.216]***	[0.029]***	[0.029]***
Index of issue attitudes (conservative-liberal)	0.305	0.301	0.261	0.283	1.811	0.308	0.345
	[0.048]***	[0.049]***	[0.058]***	[0.054]***	[0.316]***	[0.050]***	[0.056]***
Psychological Secrecy x Union HH (1=yes)		-0.133	-0.106	-0.109	-0.634	-0.132	-0.146
		[0.046]***	[0.048]**	[0.051]**	[0.320]**	[0.047]***	[0.049]***
Social Secrecy x Union HH (1=yes)		0.019	-0.039	-0.068	-0.341	0.024	0.003
		[0.047]	[0.067]	[0.062]	[0.277]	[0.048]	[0.073]
Psychological Secrecy x Party: Strong Republican		0.060	0.043	-0.017	0.204	0.055	0.017
		[0.065]	[0.070]	[0.093]	[0.423]	[0.065]	[0.094]
Psychological Secrecy x Party: Weak Republican		-0.104	-0.116	-0.192	-0.761	-0.097	-0.212
		[0.085]	[0.092]	[0.104]*	[0.413]*	[0.085]	[0.122]*
Psychological Secrecy x Party: Lean Republican		0.115	0.100	0.081	0.455	0.149	0.097
		[0.091]	[0.093]	[0.110]	[0.467]	[0.093]	[0.111]
Psychological Secrecy x Party: Lean Democrat		0.092	0.075	0.089	0.459	0.091	-0.010
